Full Name,Roll,Registration No,Phone,Gender,Department Code,Semester,Session
Mohammad Ali,2024021,REG-2024-021,01712345698,Male,CMT,2,2024-2025
Fatema Begum,2024022,REG-2024-022,01712345699,Female,CVT,3,2024-2025
Abdul Karim,2024023,REG-2024-023,01712345700,Male,ET,1,2024-2025
Rokeya Sultana,2024024,REG-2024-024,01712345701,Female,MT,4,2024-2025
Shahin Alam,2024025,REG-2024-025,01712345702,Male,PT,2,2024-2025
Jannatul Ferdous,2024026,REG-2024-026,01712345703,Female,ECT,3,2024-2025
Rashedul Islam,2024027,REG-2024-027,01712345704,Male,RACT,1,2024-2025
Sajeda Akhter,2024028,REG-2024-028,01712345705,Female,AT,2,2024-2025
Nazmul Hossain,2024029,REG-2024-029,01712345706,Male,FT,4,2024-2025
Amina Khatun,2024030,REG-2024-030,01712345707,Female,ARCH,1,2024-2025
Farhad Uddin,2024031,REG-2024-031,01712345708,Male,NT,2,2024-2025
Salma Akter,2024032,REG-2024-032,01712345709,Female,CMT,3,2024-2025
Mizanur Rahman,2024033,REG-2024-033,01712345710,Male,CVT,1,2024-2025
Sharmin Sultana,2024034,REG-2024-034,01712345711,Female,ET,2,2024-2025
Kazi Shafiqul,2024035,REG-2024-035,01712345712,Male,MT,3,2024-2025
Rima Akter,2024036,REG-2024-036,01712345713,Female,PT,1,2024-2025
Imran Hossain,2024037,REG-2024-037,01712345714,Male,ECT,4,2024-2025
Moushumi Akter,2024038,REG-2024-038,01712345715,Female,RACT,2,2024-2025
Shahriar Kabir,2024039,REG-2024-039,01712345716,Male,AT,3,2024-2025
Shamim Akhter,2024040,REG-2024-040,01712345717,Female,FT,1,2024-2025
Jamal Hossain,2024041,REG-2024-041,01712345718,Male,ARCH,2,2024-2025
